código_estación;nombre_estación;ene-20;feb-20;mar-20;abr-20;may-20;jun-20;jul-20;ago-20;sept-20;oct-20;nov-20;dic-20
101;Plaza de Castilla;1.227.029;1.250.746;563.501;111.680;215.399;483.380;608.456;454.893;636.003;671.963;661.985;663.192
102;Valdeacederas;247.725;247.707;112.118;20.662;45.604;102.154;127.803;96.168;125.047;137.158;135.408;138.303
103;Tetuán;315.049;314.621;138.837;24.421;56.770;126.963;154.683;119.320;160.276;173.058;172.160;178.672
104;Estrecho;444.714;444.345;199.226;35.386;75.261;175.823;222.187;176.421;230.323;248.745;249.962;254.736
105;Alvarado;181.959;179.746;80.713;12.683;32.277;77.237;95.063;77.034;95.066;105.095;102.263;111.861
106;Cuatro Caminos;632.154;658.447;287.191;48.870;105.016;235.186;293.269;229.195;306.287;339.132;338.245;348.498
107;Ríos Rosas;216.997;219.657;91.526;11.435;22.688;56.892;74.287;51.353;84.481;97.746;98.098;94.736
108;Iglesia;329.133;327.479;139.322;23.559;47.039;106.790;126.983;88.288;139.793;156.312;154.293;154.479
109;Bilbao;326.266;290.821;133.944;17.915;42.846;114.311;146.085;104.020;160.648;179.785;177.088;185.520
110;Tribunal;564.902;577.964;216.292;22.979;53.742;149.346;197.376;148.885;218.122;251.784;236.888;266.812
111;Gran Vía;0;0;0;0;0;0;0;0;0;0;0;0
112;Sol;2.197.946;2.092.361;807.477;78.378;195.406;633.039;855.503;680.383;821.947;956.168;847.615;1.057.624
113;Tirso de Molina;344.823;347.688;145.849;22.531;48.351;112.066;142.691;111.969;149.680;174.083;167.283;187.695
114;Antón Martín;251.617;250.092;102.801;14.379;28.314;71.754;96.205;76.212;98.673;119.374;112.161;125.498
115;Estación del Arte;215.563;219.936;80.806;6.788;18.150;58.159;78.726;63.739;77.413;89.156;81.630;96.783
116;Atocha-Renfe;783.549;785.612;347.161;64.434;125.191;281.780;364.682;303.984;348.814;358.965;343.025;376.351
117;Menéndez Pelayo;205.020;206.781;83.477;11.784;24.187;63.200;81.009;59.149;86.262;100.821;100.619;99.229
118;Pacífico;463.820;465.402;207.296;42.193;82.132;178.564;217.367;170.457;223.633;241.951;239.057;245.884
119;Puente de Vallecas;366.632;362.386;172.765;39.610;84.199;174.240;214.159;177.605;186.198;212.779;202.303;226.436
120;Nueva Numancia;370.355;367.361;177.108;43.287;91.994;186.092;224.068;186.651;205.449;224.060;219.902;237.952
121;Portazgo;219.024;213.210;99.033;22.033;48.694;103.684;124.877;98.559;114.964;127.277;125.513;132.614
122;Buenos Aires;156.204;152.873;71.288;16.084;33.372;72.978;86.200;69.547;84.111;91.264;89.031;95.809
123;Alto del Arenal;179.284;176.661;87.097;23.874;45.266;90.421;108.661;89.820;101.353;111.238;108.952;116.463
124;Miguel Hernández;210.017;206.695;100.559;26.601;51.420;100.671;117.060;95.981;111.133;120.195;120.636;125.513
125;Sierra de Guadalupe;228.282;231.647;114.675;32.105;52.827;102.758;123.368;100.813;120.008;132.307;130.739;132.670
126;Villa de Vallecas;165.114;162.363;78.129;20.693;38.669;78.706;94.135;76.972;88.478;99.806;98.205;104.026
127;Congosto;132.633;131.739;63.640;16.298;29.084;58.560;69.438;52.718;69.256;76.973;77.350;79.084
128;La Gavia;105.224;103.550;48.099;9.827;17.721;37.670;45.174;34.693;48.458;53.597;53.545;54.455
129;Las Suertes;181.931;169.963;72.180;12.429;23.433;74.565;99.652;84.454;95.148;106.452;103.457;116.945
130;Valdecarros;78.458;79.219;38.366;11.348;19.147;36.665;43.372;34.311;42.492;45.936;47.342;45.719
151;Chamartín;561.223;573.908;261.122;50.388;87.828;176.236;221.056;173.164;225.438;225.855;227.621;220.715
152;Bambú;101.199;103.707;46.560;7.073;14.023;29.418;36.017;24.401;37.153;38.608;39.746;37.932
153;Pinar de Chamartín;402.647;423.688;177.099;29.053;58.331;130.412;155.037;105.953;169.472;174.202;180.530;172.864
201;Ventas;253.761;266.591;108.213;15.968;35.015;82.884;98.377;73.107;103.381;114.620;112.632;116.137
202;Manuel Becerra;427.962;444.702;184.572;26.979;61.514;142.153;173.113;123.830;184.734;200.552;203.083;200.182
203;Goya;515.432;426.076;182.125;26.896;62.864;183.957;231.266;164.011;236.249;263.271;255.508;290.359
204;Príncipe de Vergara;262.181;281.418;103.278;11.562;29.433;73.290;85.709;57.348;89.152;95.734;95.440;99.647
205;Retiro;231.768;272.407;98.805;6.267;19.424;77.540;99.738;77.516;93.242;91.118;87.259;90.782
206;Banco de España;300.889;287.160;116.704;8.275;17.088;63.794;88.315;64.560;86.880;102.365;93.229;120.721
207;Sevilla;122.349;122.150;50.967;4.891;9.741;24.469;34.566;26.576;37.249;44.304;41.645;60.712
209;Ópera;522.025;498.724;180.999;14.879;37.779;133.236;183.644;140.692;184.440;216.070;190.699;275.444
210;Santo Domingo;149.671;144.744;56.223;4.580;10.698;34.489;49.690;39.340;50.910;57.769;56.062;64.814
211;Noviciado;186.413;191.197;78.827;10.587;22.347;53.775;68.898;52.609;78.412;94.386;93.306;92.026
212;San Bernardo;200.673;180.391;82.498;14.285;29.765;69.341;88.157;61.448;101.292;113.490;112.053;110.100
213;Quevedo;266.317;275.471;113.774;16.538;35.751;85.702;106.810;75.196;112.801;125.687;124.157;126.597
214;Canal;276.071;291.107;120.705;17.405;35.204;85.378;102.387;68.890;117.112;132.716;133.396;127.953
251;La Elipa;250.572;246.614;113.826;24.487;52.652;115.124;136.352;107.704;129.819;143.270;141.904;151.673
252;La Almudena;105.083;103.668;45.666;8.625;19.552;47.981;57.519;44.859;54.273;63.658;61.837;66.303
253;Alsacia;159.794;156.100;68.118;13.340;26.039;64.196;78.395;61.173;79.204;87.520;85.030;94.941
254;Avenida de Guadalajara;111.537;111.698;47.767;8.854;17.093;42.668;51.762;37.716;58.002;64.197;64.696;65.825
