código_estación;nombre_estación;ene-21;feb-21;mar-21;abr-21;may-21;jun-21;jul-21;ago-21;sept-21;oct-21;nov-21;dic-21
101;Plaza de Castilla;544.501;663.009;;;;;;;;;;
102;Valdeacederas;135.910;135.103;;;;;;;;;;
103;Tetuán;171.387;172.558;;;;;;;;;;
104;Estrecho;238.707;247.863;;;;;;;;;;
105;Alvarado;102.133;108.801;;;;;;;;;;
106;Cuatro Caminos;300.434;319.581;;;;;;;;;;
107;Ríos Rosas;89.486;98.780;;;;;;;;;;
108;Iglesia;140.853;157.007;;;;;;;;;;
109;Bilbao;171.128;185.759;;;;;;;;;;
110;Tribunal;228.838;253.010;;;;;;;;;;
111;Gran Vía;0;0;;;;;;;;;;
112;Sol;891.325;902.717;;;;;;;;;;
113;Tirso de Molina;159.253;176.184;;;;;;;;;;
114;Antón Martín;117.285;119.333;;;;;;;;;;
115;Estación del Arte;79.503;85.602;;;;;;;;;;
116;Atocha-Renfe;358.328;354.786;;;;;;;;;;
117;Menéndez Pelayo;95.323;99.537;;;;;;;;;;
118;Pacífico;233.022;242.638;;;;;;;;;;
119;Puente de Vallecas;216.767;214.127;;;;;;;;;;
120;Nueva Numancia;229.537;224.392;;;;;;;;;;
121;Portazgo;135.659;131.512;;;;;;;;;;
122;Buenos Aires;100.992;91.072;;;;;;;;;;
123;Alto del Arenal;120.474;110.723;;;;;;;;;;
124;Miguel Hernández;130.552;120.547;;;;;;;;;;
125;Sierra de Guadalupe;142.033;134.586;;;;;;;;;;
126;Villa de Vallecas;108.019;101.884;;;;;;;;;;
127;Congosto;78.935;76.584;;;;;;;;;;
128;La Gavia;56.905;54.551;;;;;;;;;;
129;Las Suertes;113.046;101.947;;;;;;;;;;
130;Valdecarros;46.517;44.515;;;;;;;;;;
151;Chamartín;214.974;222.755;;;;;;;;;;
152;Bambú;37.866;40.872;;;;;;;;;;
153;Pinar de Chamartín;186.579;175.419;;;;;;;;;;
201;Ventas;110.409;116.068;;;;;;;;;;
202;Manuel Becerra;191.899;202.149;;;;;;;;;;
203;Goya;275.760;268.491;;;;;;;;;;
204;Príncipe de Vergara;98.333;98.320;;;;;;;;;;
205;Retiro;81.800;81.513;;;;;;;;;;
206;Banco de España;99.128;99.304;;;;;;;;;;
207;Sevilla;47.692;47.889;;;;;;;;;;
209;Ópera;202.731;203.589;;;;;;;;;;
210;Santo Domingo;57.004;57.562;;;;;;;;;;
211;Noviciado;84.841;94.075;;;;;;;;;;
212;San Bernardo;105.490;117.344;;;;;;;;;;
213;Quevedo;119.453;126.653;;;;;;;;;;
214;Canal;115.444;131.201;;;;;;;;;;
251;La Elipa;157.504;146.660;;;;;;;;;;
252;La Almudena;62.326;60.892;;;;;;;;;;
253;Alsacia;92.024;85.244;;;;;;;;;;
254;Avenida de Guadalajara;58.898;62.486;;;;;;;;;;
255;Las Rosas;54.352;53.116;;;;;;;;;;
301;Legazpi;331.224;354.959;;;;;;;;;;
302;Delicias;159.931;167.506;;;;;;;;;;
303;Palos de la Frontera;114.850;123.742;;;;;;;;;;
